"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","rentals"
231,"2011-08-19","Summer",0,8,"No",5,"Yes","Few Clouds",24.195,0.633221,72.2917,9.333636,797,3356,4153
232,"2011-08-20","Summer",0,8,"No",6,"No","Clear",24.7825,0.648996,67.4167,6.999289,1914,3277,5191
233,"2011-08-21","Summer",0,8,"No",0,"No","Clear",25.409151,0.675525,77,16.666518,1249,2624,3873
234,"2011-08-22","Summer",0,8,"No",1,"Yes","Clear",24.508349,0.638254,47,18.54225,833,3925,4758
235,"2011-08-23","Summer",0,8,"No",2,"Yes","Clear",22.119151,0.606067,45.5417,9.833121,1281,4614,5895
236,"2011-08-24","Summer",0,8,"No",3,"Yes","Clear",23.646651,0.630692,60.5,16.958236,949,4181,5130
237,"2011-08-25","Summer",0,8,"No",4,"Yes","Few Clouds",24.155849,0.645854,77.1667,14.125811,435,3107,3542
238,"2011-08-26","Summer",0,8,"No",5,"Yes","Clear",24.9,0.659733,76.125,5.6254875,768,3893,4661
239,"2011-08-27","Summer",0,8,"No",6,"No","Few Clouds",23.96,0.635556,85,25.166339,226,889,1115
240,"2011-08-28","Summer",0,8,"No",0,"No","Clear",25.231773,0.647959,56.1765,20.412153,1415,2919,4334
241,"2011-08-29","Summer",0,8,"No",1,"Yes","Clear",21.923349,0.607958,55.4583,10.708275,729,3905,4634
242,"2011-08-30","Summer",0,8,"No",2,"Yes","Clear",22.040849,0.594704,54.8333,8.375536,775,4429,5204
243,"2011-08-31","Summer",0,8,"No",3,"Yes","Clear",22.863349,0.611121,59.7917,5.5833311,688,4370,5058
244,"2011-09-01","Summer",0,9,"No",4,"Yes","Clear",22.785,0.614921,63.9167,9.500332,783,4332,5115
245,"2011-09-02","Summer",0,9,"No",5,"Yes","Few Clouds",22.236651,0.604808,72.7083,9.375243,875,3852,4727
246,"2011-09-03","Summer",0,9,"No",6,"No","Clear",23.450849,0.633213,71.6667,12.416775,1935,2549,4484
247,"2011-09-04","Summer",0,9,"No",0,"No","Clear",25.330849,0.665429,74.2083,13.833289,2521,2419,4940
248,"2011-09-05","Summer",0,9,"Yes",1,"No","Few Clouds",23.646651,0.625646,79.0417,14.250632,1236,2115,3351
249,"2011-09-06","Summer",0,9,"No",2,"Yes","Partly Cloudy",17.38,0.5152,88.6957,23.044181,204,2506,2710
250,"2011-09-07","Summer",0,9,"No",3,"Yes","Partly Cloudy",20.160849,0.544229,91.7083,6.5003936,118,1878,1996
251,"2011-09-08","Summer",0,9,"No",4,"Yes","Partly Cloudy",21.793911,0.555361,93.9565,12.914116,153,1689,1842
252,"2011-09-09","Summer",0,9,"No",5,"Yes","Few Clouds",22.55,0.578946,89.7917,8.333393,417,3127,3544
253,"2011-09-10","Summer",0,9,"No",6,"No","Clear",23.02,0.607962,75.375,10.291736,1750,3595,5345
254,"2011-09-11","Summer",0,9,"No",0,"No","Clear",22.706651,0.609229,71.375,7.708618,1633,3413,5046
255,"2011-09-12","Summer",0,9,"No",1,"Yes","Clear",22.284356,0.60213,69.2174,5.957171,690,4023,4713
256,"2011-09-13","Summer",0,9,"No",2,"Yes","Clear",22.589151,0.603554,71.25,9.500868,701,4062,4763
257,"2011-09-14","Summer",0,9,"No",3,"Yes","Clear",23.646651,0.6269,69.7083,11.2091,647,4138,4785
258,"2011-09-15","Summer",0,9,"No",4,"Yes","Few Clouds",19.1425,0.553671,70.9167,18.166782,428,3231,3659
259,"2011-09-16","Summer",0,9,"No",5,"Yes","Few Clouds",14.050849,0.461475,59.0417,11.000261,742,4018,4760
260,"2011-09-17","Summer",0,9,"No",6,"No","Few Clouds",15.108349,0.478512,71.8333,12.708225,1434,3077,4511
261,"2011-09-18","Summer",0,9,"No",0,"No","Clear",15.8525,0.490537,69.5,11.958361,1353,2921,4274
262,"2011-09-19","Summer",0,9,"No",1,"Yes","Few Clouds",17.810849,0.529675,69,10.166714,691,3848,4539
263,"2011-09-20","Summer",0,9,"No",2,"Yes","Few Clouds",18.398349,0.532217,88.125,9.041918,438,3203,3641
264,"2011-09-21","Summer",0,9,"No",3,"Yes","Few Clouds",19.965,0.550533,90,6.4590814,539,3813,4352
265,"2011-09-22","Summer",0,9,"No",4,"Yes","Few Clouds",21.531651,0.554963,90.2083,8.584375,555,4240,4795
266,"2011-09-23","Fall",0,9,"No",5,"Yes","Few Clouds",20.630849,0.522125,97.25,5.2505689,258,2137,2395
267,"2011-09-24","Fall",0,9,"No",6,"No","Few Clouds",20.513349,0.564412,86.25,5.2516811,1776,3647,5423
268,"2011-09-25","Fall",0,9,"No",0,"No","Few Clouds",21.805849,0.572637,84.5,3.3754064,1544,3466,5010
269,"2011-09-26","Fall",0,9,"No",1,"Yes","Few Clouds",22.510849,0.589042,84.8333,7.4169,684,3946,4630
270,"2011-09-27","Fall",0,9,"No",2,"Yes","Few Clouds",21.923349,0.574525,88.5417,7.917457,477,3643,4120
271,"2011-09-28","Fall",0,9,"No",3,"Yes","Few Clouds",21.845,0.575158,84.875,9.958143,480,3427,3907
272,"2011-09-29","Fall",0,9,"No",4,"Yes","Clear",20.983349,0.574512,69.9167,11.583161,653,4186,4839
273,"2011-09-30","Fall",0,9,"No",5,"Yes","Clear",18.515849,0.544829,64.75,13.833825,830,4372,5202
274,"2011-10-01","Fall",0,10,"No",6,"No","Few Clouds",11.27,0.412863,75.375,19.583832,480,1949,2429
275,"2011-10-02","Fall",0,10,"No",0,"No","Few Clouds",8.763349,0.345317,79.1667,14.874871,616,2302,2918
276,"2011-10-03","Fall",0,10,"No",1,"Yes","Few Clouds",10.055849,0.392046,76.0833,5.5841686,330,3240,3570
277,"2011-10-04","Fall",0,10,"No",2,"Yes","Clear",14.755849,0.472858,71,13.792218,486,3970,4456
278,"2011-10-05","Fall",0,10,"No",3,"Yes","Clear",17.301651,0.527138,64.7917,11.87575,559,4267,4826
279,"2011-10-06","Fall",0,10,"No",4,"Yes","Clear",15.225849,0.480425,62.0833,9.041918,639,4126,4765
280,"2011-10-07","Fall",0,10,"No",5,"Yes","Clear",16.009151,0.504404,68.4167,1.5002439,949,4036,4985
281,"2011-10-08","Fall",0,10,"No",6,"No","Clear",16.518349,0.513242,70.125,3.0420814,2235,3174,5409
282,"2011-10-09","Fall",0,10,"No",0,"No","Clear",17.419151,0.523983,72.75,4.25115,2397,3114,5511
283,"2011-10-10","Fall",0,10,"Yes",1,"No","Clear",18.829151,0.542925,73.375,2.8343814,1514,3603,5117
284,"2011-10-11","Fall",0,10,"No",2,"Yes","Few Clouds",18.633349,0.546096,80.875,9.583814,667,3896,4563
285,"2011-10-12","Fall",0,10,"No",3,"Yes","Partly Cloudy",17.536651,0.517717,90.625,16.62605,217,2199,2416
286,"2011-10-13","Fall",0,10,"No",4,"Yes","Few Clouds",19.690849,0.551804,89.6667,9.499729,290,2623,2913
287,"2011-10-14","Fall",0,10,"No",5,"Yes","Few Clouds",17.889151,0.529675,71.625,15.000161,529,3115,3644
288,"2011-10-15","Fall",0,10,"No",6,"No","Clear",15.813349,0.498725,48.3333,17.291561,1899,3318,5217
289,"2011-10-16","Fall",0,10,"No",0,"No","Clear",16.048349,0.503154,48.6667,18.875039,1748,3293,5041
290,"2011-10-17","Fall",0,10,"No",1,"Yes","Clear",17.105849,0.510725,57.9583,11.750393,713,3857,4570
291,"2011-10-18","Fall",0,10,"No",2,"Yes","Few Clouds",17.0275,0.522721,70.1667,7.375829,637,4111,4748
292,"2011-10-19","Fall",0,10,"No",3,"Yes","Partly Cloudy",17.461733,0.513848,89.5217,16.303713,254,2170,2424
293,"2011-10-20","Fall",0,10,"No",4,"Yes","Clear",14.364151,0.466525,63.625,28.292425,471,3724,4195
294,"2011-10-21","Fall",0,10,"No",5,"Yes","Clear",12.0925,0.423596,57.4167,14.833532,676,3628,4304
295,"2011-10-22","Fall",0,10,"No",6,"No","Clear",11.8575,0.425492,62.9167,6.2086689,1499,2809,4308
296,"2011-10-23","Fall",0,10,"No",0,"No","Clear",11.818349,0.422333,74.125,6.6673375,1619,2762,4381
297,"2011-10-24","Fall",0,10,"No",1,"Yes","Clear",13.776651,0.457067,77.2083,7.959064,699,3488,4187
298,"2011-10-25","Fall",0,10,"No",2,"Yes","Clear",14.168349,0.463375,62.2917,11.166086,695,3992,4687
299,"2011-10-26","Fall",0,10,"No",3,"Yes","Few Clouds",14.755849,0.472846,72.0417,9.959014,404,3490,3894
300,"2011-10-27","Fall",0,10,"No",4,"Yes","Few Clouds",14.09,0.457046,81.2917,13.250121,240,2419,2659
301,"2011-10-28","Fall",0,10,"No",5,"Yes","Few Clouds",7.549151,0.318812,58.5833,15.375093,456,3291,3747
302,"2011-10-29","Fall",0,10,"No",6,"No","Partly Cloudy",3.945849,0.227913,88.25,23.541857,57,570,627
303,"2011-10-30","Fall",0,10,"No",0,"No","Clear",7.000849,0.321329,62.375,11.833339,885,2446,3331
304,"2011-10-31","Fall",0,10,"No",1,"Yes","Clear",7.98,0.356063,70.3333,7.12545,362,3307,3669
305,"2011-11-01","Fall",0,11,"No",2,"Yes","Clear",10.839151,0.397088,68.375,9.083257,410,3658,4068
306,"2011-11-02","Fall",0,11,"No",3,"Yes","Clear",9.7425,0.390133,71.875,5.5001439,370,3816,4186
307,"2011-11-03","Fall",0,11,"No",4,"Yes","Clear",11.191651,0.405921,70.2083,9.166739,318,3656,3974
308,"2011-11-04","Fall",0,11,"No",5,"Yes","Few Clouds",10.956651,0.403392,62.25,18.209193,470,3576,4046
309,"2011-11-05","Fall",0,11,"No",6,"No","Clear",7.353349,0.323854,51.9167,12.667154,1156,2770,3926
310,"2011-11-06","Fall",0,11,"No",0,"No","Clear",8.371651,0.362358,73.4583,6.1676314,952,2697,3649
311,"2011-11-07","Fall",0,11,"No",1,"Yes","Clear",10.565,0.400871,75.875,3.834075,373,3662,4035
312,"2011-11-08","Fall",0,11,"No",2,"Yes","Clear",11.191651,0.412246,72.1667,4.6255125,376,3829,4205
313,"2011-11-09","Fall",0,11,"No",3,"Yes","Clear",10.8,0.409079,75.8333,4.1671186,305,3804,4109
314,"2011-11-10","Fall",0,11,"No",4,"Yes","Few Clouds",9.86,0.373721,81.3333,12.667489,190,2743,2933
315,"2011-11-11","Fall",0,11,"Yes",5,"No","Clear",7.235849,0.306817,44.625,21.083225,440,2928,3368
316,"2011-11-12","Fall",0,11,"No",6,"No","Clear",8.763349,0.357942,55.2917,14.208154,1275,2792,4067
317,"2011-11-13","Fall",0,11,"No",0,"No","Clear",12.719151,0.43055,45.8333,18.875307,1004,2713,3717
318,"2011-11-14","Fall",0,11,"No",1,"Yes","Clear",16.91,0.524612,58.7083,20.541932,595,3891,4486
319,"2011-11-15","Fall",0,11,"No",2,"Yes","Few Clouds",16.91,0.507579,68.875,13.375411,449,3746,4195
320,"2011-11-16","Fall",0,11,"No",3,"Yes","Partly Cloudy",13.463349,0.451988,93,9.167543,145,1672,1817
321,"2011-11-17","Fall",0,11,"No",4,"Yes","Few Clouds",8.058349,0.323221,57.5833,20.459254,139,2914,3053
322,"2011-11-18","Fall",0,11,"No",5,"Yes","Clear",4.885849,0.272721,41,11.291711,245,3147,3392
323,"2011-11-19","Fall",0,11,"No",6,"No","Clear",7.470849,0.324483,50.2083,15.041232,943,2720,3663
324,"2011-11-20","Fall",0,11,"No",0,"No","Few Clouds",13.776651,0.457058,68.4583,12.45865,787,2733,3520
325,"2011-11-21","Fall",0,11,"No",1,"Yes","Partly Cloudy",13.0325,0.445062,91,9.249618,220,2545,2765
326,"2011-11-22","Fall",0,11,"No",2,"Yes","Partly Cloudy",11.583349,0.421696,96.25,7.959064,69,1538,1607
327,"2011-11-23","Fall",0,11,"No",3,"Yes","Few Clouds",12.719151,0.430537,75.7917,22.500275,112,2454,2566
328,"2011-11-24","Fall",0,11,"Yes",4,"No","Clear",9.546651,0.372471,54.9167,11.209368,560,935,1495
329,"2011-11-25","Fall",0,11,"No",5,"Yes","Clear",9.625,0.380671,64.375,6.6260186,1095,1697,2792
330,"2011-11-26","Fall",0,11,"No",6,"No","Clear",9.664151,0.385087,68.1667,4.5841936,1249,1819,3068
331,"2011-11-27","Fall",0,11,"No",0,"No","Clear",13.580849,0.4558,69.8333,13.999918,810,2261,3071
332,"2011-11-28","Fall",0,11,"No",1,"Yes","Clear",15.663466,0.490122,74.3043,9.522174,253,3614,3867
333,"2011-11-29","Fall",0,11,"No",2,"Yes","Few Clouds",13.541651,0.451375,83.0833,17.292164,96,2818,2914
334,"2011-11-30","Fall",0,11,"No",3,"Yes","Clear",7.275,0.311221,61.3333,18.167586,188,3425,3613
335,"2011-12-01","Fall",0,12,"No",4,"Yes","Clear",6.6875,0.305554,52.4583,14.750586,182,3545,3727
336,"2011-12-02","Fall",0,12,"No",5,"Yes","Clear",6.765849,0.331433,62.5833,6.750518,268,3672,3940
337,"2011-12-03","Fall",0,12,"No",6,"No","Clear",6.060849,0.310604,61.2917,6.4174811,706,2908,3614
338,"2011-12-04","Fall",0,12,"No",0,"No","Clear",7.549151,0.3491,77.5833,5.6252061,634,2851,3485
339,"2011-12-05","Fall",0,12,"No",1,"Yes","Few Clouds",10.134151,0.393925,82.7083,4.1679561,233,3578,3811
340,"2011-12-06","Fall",0,12,"No",2,"Yes","Partly Cloudy",13.7375,0.4564,94.9583,15.583061,126,2468,2594
341,"2011-12-07","Fall",0,12,"No",3,"Yes","Partly Cloudy",11.27,0.400246,97.0417,17.833725,50,655,705
342,"2011-12-08","Fall",0,12,"No",4,"Yes","Clear",4.494151,0.256938,58,16.083886,150,3172,3322
343,"2011-12-09","Fall",0,12,"No",5,"Yes","Clear",5.669151,0.317542,69.5833,5.5420189,261,3359,3620
344,"2011-12-10","Fall",0,12,"No",6,"No","Clear",4.925,0.266412,50.75,15.625807,502,2688,3190
345,"2011-12-11","Fall",0,12,"No",0,"No","Clear",2.379151,0.253154,49,4.4582939,377,2366,2743
346,"2011-12-12","Fall",0,12,"No",1,"Yes","Clear",3.201651,0.270196,67.0833,4.25115,143,3167,3310
347,"2011-12-13","Fall",0,12,"No",2,"Yes","Clear",5.2775,0.301138,59,9.41685,155,3368,3523
348,"2011-12-14","Fall",0,12,"No",3,"Yes","Few Clouds",6.9225,0.338362,66.375,4.0842061,178,3562,3740
349,"2011-12-15","Fall",0,12,"No",4,"Yes","Few Clouds",11.8575,0.412237,63.4167,17.958814,181,3528,3709
350,"2011-12-16","Fall",0,12,"No",5,"Yes","Few Clouds",9.625,0.359825,50.0417,17.458525,178,3399,3577
351,"2011-12-17","Fall",0,12,"No",6,"No","Few Clouds",4.141651,0.249371,56.0833,16.292189,275,2464,2739
352,"2011-12-18","Fall",0,12,"No",0,"No","Clear",3.201651,0.245579,58.625,11.375193,220,2211,2431
353,"2011-12-19","Fall",0,12,"No",1,"Yes","Clear",5.003349,0.280933,63.75,11.584032,260,3143,3403
354,"2011-12-20","Fall",0,12,"No",2,"Yes","Few Clouds",10.134151,0.396454,59.5417,4.1252436,216,3534,3750
355,"2011-12-21","Winter",0,12,"No",3,"Yes","Few Clouds",12.131651,0.428017,85.8333,14.8338,107,2553,2660
356,"2011-12-22","Winter",0,12,"No",4,"Yes","Few Clouds",11.896651,0.426121,75.75,3.167425,227,2841,3068
357,"2011-12-23","Winter",0,12,"No",5,"Yes","Clear",9.546651,0.377513,68.625,18.374482,163,2046,2209
358,"2011-12-24","Winter",0,12,"No",6,"No","Clear",6.2175,0.299242,54.25,12.750368,155,856,1011
359,"2011-12-25","Winter",0,12,"No",0,"No","Clear",4.914801,0.279961,68.1304,10.391097,303,451,754
360,"2011-12-26","Winter",0,12,"Yes",1,"No","Clear",7.121733,0.315535,50.6957,16.044155,430,887,1317
361,"2011-12-27","Winter",0,12,"No",2,"Yes","Few Clouds",7.275,0.327633,76.25,12.62615,103,1059,1162
362,"2011-12-28","Winter",0,12,"No",3,"Yes","Clear",6.05911,0.279974,50.3913,19.695387,255,2047,2302
363,"2011-12-29","Winter",0,12,"No",4,"Yes","Clear",3.671651,0.263892,57.4167,8.000604,254,2169,2423
364,"2011-12-30","Winter",0,12,"No",5,"Yes","Clear",6.648349,0.318812,63.6667,9.000579,491,2508,2999
365,"2011-12-31","Winter",0,12,"No",6,"No","Clear",11.27,0.414121,61.5833,14.750318,665,1820,2485
366,"2012-01-01","Winter",1,1,"No",0,"No","Clear",9.39,0.375621,69.25,12.875189,686,1608,2294
367,"2012-01-02","Winter",1,1,"Yes",1,"No","Clear",4.833021,0.252304,38.1304,22.087555,244,1707,1951
368,"2012-01-03","Winter",1,1,"No",2,"Yes","Clear",-0.95,0.126275,44.125,24.499957,89,2147,2236
369,"2012-01-04","Winter",1,1,"No",3,"Yes","Few Clouds",-2.9475,0.119337,41.4583,12.3749,95,2273,2368
370,"2012-01-05","Winter",1,1,"No",4,"Yes","Clear",4.494151,0.278412,52.4167,8.709129,140,3132,3272
371,"2012-01-06","Winter",1,1,"No",5,"Yes","Clear",7.705849,0.340267,54.2083,11.249836,307,3791,4098
372,"2012-01-07","Winter",1,1,"No",6,"No","Clear",10.486651,0.390779,53.1667,11.708786,1070,3451,4521
373,"2012-01-08","Winter",1,1,"No",0,"No","Clear",7.8625,0.340258,46.5,12.833314,599,2826,3425
374,"2012-01-09","Winter",1,1,"No",1,"Yes","Few Clouds",2.535849,0.247479,70.1667,6.6263,106,2270,2376
375,"2012-01-10","Winter",1,1,"No",2,"Yes","Clear",6.508712,0.318826,64.6522,12.565984,173,3425,3598
376,"2012-01-11","Winter",1,1,"No",3,"Yes","Few Clouds",4.885849,0.282821,84.75,8.791807,92,2085,2177
377,"2012-01-12","Winter",1,1,"No",4,"Yes","Few Clouds",9.9775,0.381938,80.2917,12.124789,269,3828,4097
378,"2012-01-13","Winter",1,1,"No",5,"Yes","Clear",4.885849,0.249362,50.75,25.333236,174,3040,3214
379,"2012-01-14","Winter",1,1,"No",6,"No","Clear",0.459999999999999,0.183087,45.75,12.541261,333,2160,2493
380,"2012-01-15","Winter",1,1,"No",0,"No","Clear",-0.166651,0.161625,41.9167,16.834286,284,2027,2311
381,"2012-01-16","Winter",1,1,"Yes",1,"No","Clear",0.93,0.190663,52.25,15.500986,217,2081,2298
382,"2012-01-17","Winter",1,1,"No",2,"Yes","Few Clouds",9.533021,0.364278,71.6087,23.39171,127,2808,2935
383,"2012-01-18","Winter",1,1,"No",3,"Yes","Clear",6.256651,0.275254,44.3333,27.833743,109,3267,3376
384,"2012-01-19","Winter",1,1,"No",4,"Yes","Clear",0.93,0.190038,49.75,14.750586,130,3162,3292
385,"2012-01-20","Winter",1,1,"No",5,"Yes","Few Clouds",2.2225,0.220958,45,13.58425,115,3048,3163
386,"2012-01-21","Winter",1,1,"No",6,"No","Few Clouds",0.146650999999999,0.174875,83.125,14.917014,67,1234,1301
387,"2012-01-22","Winter",1,1,"No",0,"No","Few Clouds",-0.3625,0.16225,79.625,13.375746,196,1781,1977
388,"2012-01-23","Winter",1,1,"No",1,"Yes","Few Clouds",2.261651,0.243058,91.125,7.417436,145,2287,2432
389,"2012-01-24","Winter",1,1,"No",2,"Yes","Clear",8.0975,0.349108,83.5833,8.292389,439,3900,4339
390,"2012-01-25","Winter",1,1,"No",3,"Yes","Clear",5.825849,0.294821,64.375,10.791757,467,3803,4270
391,"2012-01-26","Winter",1,1,"No",4,"Yes","Few Clouds",8.058349,0.35605,76.9583,4.9175186,244,3831,4075
392,"2012-01-27","Winter",1,1,"No",5,"Yes","Few Clouds",11.975,0.415383,74.125,22.958689,269,3187,3456
393,"2012-01-28","Winter",1,1,"No",6,"No","Clear",6.844151,0.326379,54.3333,14.125543,775,3248,4023
394,"2012-01-29","Winter",1,1,"No",0,"No","Clear",5.2775,0.272721,31.125,16.08335,558,2685,3243
395,"2012-01-30","Winter",1,1,"No",1,"Yes","Clear",4.650849,0.262625,40.0833,14.458064,126,3498,3624
396,"2012-01-31","Winter",1,1,"No",2,"Yes","Clear",10.33,0.381317,41.6667,17.541739,324,4185,4509
397,"2012-02-01","Winter",1,2,"No",3,"Yes","Clear",14.050849,0.466538,50.7917,12.667489,304,4275,4579
398,"2012-02-02","Winter",1,2,"No",4,"Yes","Few Clouds",10.760849,0.398971,67.2917,12.541529,190,3571,3761
399,"2012-02-03","Winter",1,2,"No",5,"Yes","Clear",6.726651,0.309346,52.6667,11.959232,310,3841,4151
400,"2012-02-04","Winter",1,2,"No",6,"No","Few Clouds",4.415849,0.272725,77.9583,8.167032,384,2448,2832
401,"2012-02-05","Winter",1,2,"No",0,"No","Few Clouds",4.494151,0.264521,68.7917,11.791732,318,2629,2947
402,"2012-02-06","Winter",1,2,"No",1,"Yes","Clear",5.282623,0.296426,62.2174,10.3046,206,3578,3784
403,"2012-02-07","Winter",1,2,"No",2,"Yes","Clear",8.645849,0.361104,49.625,9.874393,199,4176,4375
404,"2012-02-08","Winter",1,2,"No",3,"Yes","Few Clouds",4.063349,0.266421,72.2917,8.959307,109,2693,2802
405,"2012-02-09","Winter",1,2,"No",4,"Yes","Clear",4.455,0.261988,56.2083,13.000479,163,3667,3830
406,"2012-02-10","Winter",1,2,"No",5,"Yes","Few Clouds",5.199151,0.293558,54,7.834243,227,3604,3831
407,"2012-02-11","Winter",1,2,"No",6,"No","Partly Cloudy",2.535849,0.210867,73.125,19.416332,192,1977,2169
408,"2012-02-12","Winter",1,2,"No",0,"No","Clear",-2.0075,0.101658,46.4583,27.417204,73,1456,1529
409,"2012-02-13","Winter",1,2,"No",1,"Yes","Clear",2.4575,0.227913,41.125,11.207961,94,3328,3422
410,"2012-02-14","Winter",1,2,"No",2,"Yes","Few Clouds",7.000849,0.333946,50.875,9.458993,135,3787,3922
411,"2012-02-15","Winter",1,2,"No",3,"Yes","Clear",8.371651,0.351629,53.125,12.1672,141,4028,4169
412,"2012-02-16","Winter",1,2,"No",4,"Yes","Few Clouds",6.883349,0.330162,75.2917,6.125475,74,2931,3005
413,"2012-02-17","Winter",1,2,"No",5,"Yes","Clear",8.136651,0.351629,63.4583,13.791682,349,3805,4154
414,"2012-02-18","Winter",1,2,"No",6,"No","Clear",8.293349,0.355425,53.4583,12.792243,1435,2883,4318
415,"2012-02-19","Winter",1,2,"No",0,"No","Few Clouds",5.16,0.265788,51.5833,16.958504,618,2071,2689
416,"2012-02-20","Winter",1,2,"Yes",1,"No","Clear",5.16,0.273391,50.7826,15.348561,502,2627,3129
417,"2012-02-21","Winter",1,2,"No",2,"Yes","Clear",5.527822,0.295113,59.4348,13.783039,163,3614,3777
418,"2012-02-22","Winter",1,2,"No",3,"Yes","Clear",10.604151,0.392667,56.7917,15.709557,394,4379,4773
419,"2012-02-23","Winter",1,2,"No",4,"Yes","Clear",13.345849,0.444446,55.4583,12.791171,516,4546,5062
420,"2012-02-24","Winter",1,2,"No",5,"Yes","Few Clouds",11.1525,0.410971,73.75,15.916989,246,3241,3487
421,"2012-02-25","Winter",1,2,"No",6,"No","Clear",5.669151,0.255675,39.5833,28.250014,317,2415,2732
422,"2012-02-26","Winter",1,2,"No",0,"No","Clear",5.120849,0.268308,41,13.750343,515,2874,3389
423,"2012-02-27","Winter",1,2,"No",1,"Yes","Clear",9.233349,0.357954,49.0833,17.958211,253,4069,4322
424,"2012-02-28","Winter",1,2,"No",2,"Yes","Clear",8.880849,0.353525,39.5833,12.958939,229,4134,4363
425,"2012-02-29","Winter",1,2,"No",3,"Yes","Few Clouds",8.184356,0.34847,80.4783,12.000839,65,1769,1834
426,"2012-03-01","Winter",1,3,"No",4,"Yes","Clear",14.834151,0.475371,61.5417,15.208129,325,4665,4990
427,"2012-03-02","Winter",1,3,"No",5,"Yes","Few Clouds",8.606651,0.359842,65.7083,9.708568,246,2948,3194
428,"2012-03-03","Winter",1,3,"No",6,"No","Few Clouds",11.465849,0.413492,62.125,10.792293,956,3110,4066
429,"2012-03-04","Winter",1,3,"No",0,"No","Clear",7.314151,0.303021,40.3333,22.416257,710,2713,3423
430,"2012-03-05","Winter",1,3,"No",1,"Yes","Clear",3.436651,0.241171,50.625,15.333486,203,3130,3333
431,"2012-03-06","Winter",1,3,"No",2,"Yes","Clear",4.141651,0.255042,45.6667,13.458625,221,3735,3956
432,"2012-03-07","Winter",1,3,"No",3,"Yes","Clear",10.995849,0.3851,51.3333,23.167193,432,4484,4916
433,"2012-03-08","Winter",1,3,"No",4,"Yes","Clear",16.7925,0.524604,56.75,29.584721,486,4896,5382
434,"2012-03-09","Winter",1,3,"No",5,"Yes","Few Clouds",11.309151,0.397083,40.7083,27.7916,447,4122,4569
435,"2012-03-10","Winter",1,3,"No",6,"No","Clear",5.5125,0.277767,35.0417,15.12525,968,3150,4118
436,"2012-03-11","Winter",1,3,"No",0,"No","Clear",9.001733,0.35967,47.6957,14.913329,1658,3253,4911
437,"2012-03-12","Winter",1,3,"No",1,"Yes","Clear",13.933349,0.459592,48.9167,13.916771,838,4460,5298
438,"2012-03-13","Winter",1,3,"No",2,"Yes","Clear",18.555,0.542929,61.75,15.87565,762,5085,5847
439,"2012-03-14","Winter",1,3,"No",3,"Yes","Clear",18.9075,0.548617,50.7083,7.709154,997,5315,6312
440,"2012-03-15","Winter",1,3,"No",4,"Yes","Clear",18.2025,0.532825,57.9583,10.042161,1005,5187,6192
441,"2012-03-16","Winter",1,3,"No",5,"Yes","Few Clouds",12.484151,0.436229,84.2083,7.583864,548,3830,4378
442,"2012-03-17","Winter",1,3,"No",6,"No","Few Clouds",16.165849,0.505046,75.5833,7.417168,3155,4681,7836
443,"2012-03-18","Winter",1,3,"No",0,"No","Few Clouds",14.2075,0.464,81,8.501161,2207,3685,5892
444,"2012-03-19","Winter",1,3,"No",1,"Yes","Clear",17.615,0.532821,72.875,10.875239,982,5171,6153
445,"2012-03-20","Winter",1,3,"No",2,"Yes","Clear",18.359151,0.538533,80.7917,8.125157,1051,5042,6093
446,"2012-03-21","Spring",1,3,"No",3,"Yes","Few Clouds",16.988349,0.513258,82.125,6.0004061,1122,5108,6230
447,"2012-03-22","Spring",1,3,"No",4,"Yes","Clear",18.045849,0.531567,83.125,7.876654,1334,5537,6871
448,"2012-03-23","Spring",1,3,"No",5,"Yes","Few Clouds",20.278349,0.570067,69.4167,7.7921,2469,5893,8362
449,"2012-03-24","Spring",1,3,"No",6,"No","Few Clouds",15.6175,0.486733,88.5417,12.916461,1033,2339,3372
450,"2012-03-25","Spring",1,3,"No",0,"No","Few Clouds",12.5625,0.437488,88.0833,14.791925,1532,3464,4996
451,"2012-03-26","Spring",1,3,"No",1,"Yes","Clear",12.954151,0.43875,47.7917,25.917007,795,4763,5558
452,"2012-03-27","Spring",1,3,"No",2,"Yes","Clear",7.196651,0.315654,29,12.541864,531,4571,5102
453,"2012-03-28","Spring",1,3,"No",3,"Yes","Clear",14.755849,0.47095,48.125,19.541957,674,5024,5698
454,"2012-03-29","Spring",1,3,"No",4,"Yes","Clear",15.225849,0.482304,43.9167,21.41655,834,5299,6133
455,"2012-03-30","Spring",1,3,"No",5,"Yes","Few Clouds",9.39,0.375621,58.0833,9.250489,796,4663,5459
456,"2012-03-31","Spring",1,3,"No",6,"No","Few Clouds",11.935849,0.421708,73.8333,16.791339,2301,3934,6235
457,"2012-04-01","Spring",1,4,"No",0,"No","Few Clouds",12.014151,0.417287,67.625,11.541889,2347,3694,6041
458,"2012-04-02","Spring",1,4,"No",1,"Yes","Clear",12.393911,0.427513,50.4348,20.913313,1208,4728,5936
459,"2012-04-03","Spring",1,4,"No",2,"Yes","Clear",13.933349,0.461483,39.6667,6.708911,1348,5424,6772
460,"2012-04-04","Spring",1,4,"No",3,"Yes","Clear",17.458349,0.53345,46.9583,12.125325,1058,5378,6436
461,"2012-04-05","Spring",1,4,"No",4,"Yes","Clear",12.445,0.431163,37.4167,14.708443,1192,5265,6457
